First Crack Detection Results
======================================================================

Audio file: data/raw/25-10-19_1103-costarica-hermosa-5.alog.wav
Total windows: 628
Threshold: 0.5
Window: 5.0s, Overlap: 80%
Min event duration: 2.0s
Pop confirmation: at least 3 pops within 30.0s; min gap merge 10.0s

Detected Events: 2
----------------------------------------------------------------------

Event 1:
  Start: 435.97s
  End: 471.97s
  Duration: 36.00s
  Confidence: 0.9990

Event 2:
  Start: 501.97s
  End: 621.96s
  Duration: 119.99s
  Confidence: 0.9999


======================================================================
All Window Predictions:
----------------------------------------------------------------------
Window 388:  387.98s -  397.98s | Prob: 0.0001
Window 389:  388.98s -  398.98s | Prob: 0.0001
Window 390:  389.98s -  399.98s | Prob: 0.0001
Window 391:  390.98s -  400.98s | Prob: 0.0001
Window 392:  391.98s -  401.98s | Prob: 0.0001
Window 393:  392.98s -  402.98s | Prob: 0.0001
Window 394:  393.98s -  403.98s | Prob: 0.0002
Window 395:  394.98s -  404.98s | Prob: 0.0002
Window 396:  395.98s -  405.98s | Prob: 0.0002
Window 397:  396.98s -  406.98s | Prob: 0.0001
Window 398:  397.98s -  407.98s | Prob: 0.0002
Window 399:  398.98s -  408.98s | Prob: 0.0001
Window 400:  399.98s -  409.98s | Prob: 0.0001
Window 401:  400.97s -  410.97s | Prob: 0.0000
Window 402:  401.97s -  411.97s | Prob: 0.0000
Window 403:  402.97s -  412.97s | Prob: 0.0000
Window 404:  403.97s -  413.97s | Prob: 0.0000
Window 405:  404.97s -  414.97s | Prob: 0.0000
Window 406:  405.97s -  415.97s | Prob: 0.0001
Window 407:  406.97s -  416.97s | Prob: 0.0001
Window 408:  407.97s -  417.97s | Prob: 0.0001
Window 409:  408.97s -  418.97s | Prob: 0.0001
Window 410:  409.97s -  419.97s | Prob: 0.0002
Window 411:  410.97s -  420.97s | Prob: 0.0002
Window 412:  411.97s -  421.97s | Prob: 0.0002
Window 413:  412.97s -  422.97s | Prob: 0.0002
Window 414:  413.97s -  423.97s | Prob: 0.0002
Window 415:  414.97s -  424.97s | Prob: 0.0002
Window 416:  415.97s -  425.97s | Prob: 0.0001
Window 417:  416.97s -  426.97s | Prob: 0.0001
Window 418:  417.97s -  427.97s | Prob: 0.0001
Window 419:  418.97s -  428.97s | Prob: 0.0001
Window 420:  419.97s -  429.97s | Prob: 0.0001
Window 421:  420.97s -  430.97s | Prob: 0.0001
Window 422:  421.97s -  431.97s | Prob: 0.0001
